Date,Sushi Item,Quantity Sold,Revenue
2024-12-01,California Roll,45,450.00
2024-12-01,Spicy Tuna Roll,38,380.00
2024-12-01,Salmon Nigiri,50,500.00
2024-12-01,Eel Avocado Roll,25,250.00
2024-12-01,Vegetable Roll,30,180.00
2024-12-02,California Roll,60,600.00
2024-12-02,Spicy Tuna Roll,40,400.00
2024-12-02,Salmon Nigiri,55,550.00
2024-12-02,Eel Avocado Roll,20,200.00
2024-12-02,Vegetable Roll,35,210.00
2024-12-03,California Roll,50,500.00
2024-12-03,Spicy Tuna Roll,45,450.00
2024-12-03,Salmon Nigiri,65,650.00
2024-12-03,Eel Avocado Roll,22,220.00
2024-12-03,Vegetable Roll,40,240.00
2024-12-04,California Roll,48,480.00
2024-12-04,Spicy Tuna Roll,42,420.00
2024-12-04,Salmon Nigiri,60,600.00
2024-12-04,Eel Avocado Roll,30,300.00
2024-12-04,Vegetable Roll,50,300.00
2024-12-05,California Roll,55,550.00
2024-12-05,Spicy Tuna Roll,48,480.00
2024-12-05,Salmon Nigiri,75,750.00
2024-12-05,Eel Avocado Roll,28,280.00
2024-12-05,Vegetable Roll,42,252.00\
